LandProvince;SeaZone;x;y
brugai;gulf_of_akal;7732;3081;x
okojen;north_char_coast;9604;3074;x
lundlilu;astrean_sea;13102;3071;x
reef_islands;longfairn_islands;6557;2973;x
unnamed_location_276;fourth_sea;2043;3064;x
durshnunna;rainbow_reefs;11945;3044;x
eylon;rainbow_reefs;11917;3074;x
ember_point;dremor_sea;7446;3043;x
solice;gulf_of_akal;7754;3050;x
malspa;rainbow_reefs;11811;3021;x
gunkulam;north_char_coast;9585;3048;x
unnamed_location_274;fourth_sea;1905;3031;x
rule;gulf_of_akal;7505;3052;x
seriwan;gulf_of_akal;7791;3048;x
agium;rainbow_reefs;11878;3008;x
longfin;longfairn_islands;6473;3006;x
unnamed_location_255;east_aten_coast;4255;2994;x
senile;gulf_of_akal;7790;3015;x
an;rainbow_reefs;12153;2991;x
unnamed_location_291;east_aten_coast;3703;2998;x
sasum;rainbow_reefs;12009;3012;x
unnamed_location_258;east_aten_coast;4006;2970;x
mojen;south_char_coast;9555;2992;x
unnamed_location_254;southwestern_lure;4484;2988;x
hayaan;gulf_of_akal;7812;2980;x
aba_ersul;lake_pun;9426;2972;x
new_moon;lake_pun;9450;2983;x
lonji;south_char_coast;9521;2964;x
vijyay;south_char_coast;9479;2947;x
tobwiya;gulf_of_akal;7839;2954;x
unnamed_location_253;southwestern_lure;4712;2919;x
myre;lake_pun;9414;2950;x
wake;south_char_coast;9441;2925;x
wahabi;gulf_of_akal;7819;2898;x
unnamed_location_273;unknown_depths;1983;2886;x
unnamed_location_314;south_spire_coast;2378;2901;x
unnamed_location_317;south_spire_coast;2452;2909;x
unnamed_location_292;east_aten_coast;3733;2885;x
redcrab_isle;redcrab_sea;9686;2880;x
bemeka;south_char_coast;9407;2905;x
unnamed_location_257;east_aten_coast;4037;2880;x
kaphna;south_char_coast;9370;2895;x
unnamed_location_300;south_spire_coast;2446;2893;x
unnamed_location_256;east_aten_coast;4171;2866;x
unnamed_location_299;south_spire_coast;2512;2887;x
qohojass;moon_bay;9305;2883;x
raihi;moon_bay;9189;2876;x
urad_karpat;moon_bay;9259;2858;x
usgeli;moon_bay;9209;2860;x
lojass;moon_bay;9172;2867;x
esharr;bay_of_fuad;7893;2850;x
khali;moon_bay;9145;2855;x
gharslat;bay_of_fuad;7937;2854;x
unnamed_location_259;gonlar_straight;3723;2776;x
bidhanlly;moon_bay;9104;2844;x
unnamed_location_262;gonlar_straight;3302;2834;x
juman;bay_of_fuad;7971;2819;x
dro_ega;whale_banks;8892;2828;x
kalum;rainbow_reefs;12152;2826;x
whaleport;whale_banks;8833;2814;x
unnamed_location_272;unknown_depths;2067;2790;x
unnamed_location_252;southwestern_lure;4784;2790;x
unnamed_location_261;gonlar_straight;3439;2780;x
elot;rainbow_reefs;12089;2758;x
nerborsippa;rainbow_reefs;12217;2772;x
gkuzu;whale_banks;8774;2802;x
bayya;bay_of_fuad;8002;2797;x
unnamed_location_263;gonlar_straight;3205;2750;x
unnamed_location_269;null_sea;2498;2756;x
unnamed_location_268;null_sea;2615;2786;x
shathra;blacksand_gulf;8734;2780;x
unnamed_location_267;null_sea;2689;2762;x
bayd;bay_of_fuad;8019;2773;x
unnamed_location_271;unknown_depths;2204;2706;x
unnamed_location_260;gonlar_straight;3603;2751;x
bildral;blacksand_gulf;8696;2747;x
fuad;bay_of_fuad;8030;2752;x
unnamed_location_265;null_sea;2870;2746;x
unnamed_location_266;null_sea;2754;2700;x
unnamed_location_264;null_sea;2997;2732;x
zuwar;bay_of_fuad;8027;2729;x
ushbukh;blacksand_gulf;8675;2700;x
shirat;bay_of_fuad;8032;2692;x
treasure_isle;rainbow_reefs;12268;2667;x
sugarmoon_island;slavers_bay;9073;2679;x
unnamed_location_270;unknown_depths;2342;2655;x
lilac;blacksand_gulf;8675;2659;x
ulat;bay_of_fuad;8050;2647;x
ashar;ashar_sea;7522;2623;x
upper_aym;rainbow_reefs;12102;2608;x
anasr;blacksand_gulf;8670;2618;x
salt_cliffs;waters_head;11253;2613;x
casiin;bay_of_fuad;8049;2604;x
dread_isle;slavers_bay;8962;2607;x
qatul;blacksand_gulf;8664;2578;x
lashak;waters_head;11333;2589;x
lower_aym;rainbow_reefs;12139;2532;x
karuk;rainbow_reefs;11197;2525;x
tawezuk;bay_of_fuad;8044;2568;x
isidu;rainbow_reefs;11267;2543;x
utoriha;blacksand_gulf;8683;2534;x
ydanat;bay_of_fuad;8049;2535;x
qar;bay_of_fuad;8047;2483;x
verile;blacksand_gulf;8686;2493;x
pi_assmenehet;theban_coast;9350;2469;x
aghuwar;slavers_shore;8726;2463;x
wephrehamun;hyet_cape;9430;2461;x
neyb;theban_coast;9279;2457;x
hamawa;bay_of_fuad;8012;2445;x
theban;theban_coast;9191;2437;x
djawaret;hyet_cape;9475;2424;x
barkanash;slavers_shore;8772;2438;x
heshdarat;bay_of_fuad;7962;2439;x
hatelur;salt_sea;11014;2392;x
teles;catul_sea;7897;2423;x
larzi;rainbow_reefs;11104;2425;x
qivat_elom;catul_sea;7845;2404;x
despots_gate;slavers_shore;8807;2418;x
nekhedet;theban_coast;9112;2406;x
aghanim;slavers_shore;8851;2397;x
lijilah;slavers_shore;9021;2393;x
iwanw;hyet_cape;9526;2373;x
smarya;slavers_shore;8957;2383;x
kashupu;rainbow_reefs;11136;2339;x
lis;catul_sea;7790;2370;x
shade;slavers_shore;8898;2380;x
ish;rainbow_reefs;11065;2326;x
zefat;catul_sea;7755;2341;x
amu_timon;coast_of_ak;9576;2323;x
udana;catul_sea;7701;2316;x
amu_rabak;coast_of_ak;9600;2310;x
huthis;coast_of_ak;9634;2303;x
qivat_tuvo;catul_sea;7666;2272;x
fudul;rainbow_reefs;11161;2278;x
ptkhatum;coast_of_ak;9685;2282;x
lagadu;salt_sea;10976;2244;x
aken;coast_of_ak;9731;2254;x
hibashul;rainbow_reefs;11163;2182;x
urul;salt_sea;10988;2193;x
der_khasjet;coast_of_ak;9767;2213;x
umush;rainbow_reefs;11225;2205;x
kipu;rainbow_reefs;11102;2177;x
fanetset;marsh_banks;9787;2158;x
jopu;salt_sea;11004;2134;x
kuaruk;rainbow_reefs;11099;2111;x
menheka;marsh_banks;9773;2116;x
medpotjer;marsh_banks;9757;2070;x
#FROM HERE NONE OPTIMAL PORT SELECTION;!!!!!!!;!!!!!!!;!!!!!!!!;!!!!!!!!!!
malbourn;scraw_lake;7326;6895;x
